variant,tokenizer,model,remove_velocity,hard_quantization,dataset_a,dataset_b,fmd,valid,real_pair,source_a,source_b,real_files_a,real_files_b,bootstrap_mean,bootstrap_std,bootstrap_ci_lower,bootstrap_ci_upper
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,classical,pop,0.056396334565927464,True,True,real,real,120,120,0.1154575561131977,0.0061747901122104374,0.10638761408923182,0.12659127571891965
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,classical,rap,0.09013860531143938,True,True,real,real,120,120,0.13371679299968817,0.00707586422237198,0.12131816943742588,0.14498605886828275
tok=REMI|model=CLaMP-1|vel=on|quant=off,REMI,CLaMP-1,False,False,pop,rap,0.07604996368039674,True,True,real,real,120,120,0.126961749176713,0.006915103350331544,0.11708430931689469,0.14140771243360642
tok=REMI|model=CLaMP-1|vel=off|quant=off,REMI,CLaMP-1,True,False,maestro,midicaps,0.0711285233757561,True,True,real,real,120,120,0.1250826821022498,0.011247380597728226,0.10941510539338303,0.15606902849333756
tok=REMI|model=CLaMP-1|vel=off|quant=off,REMI,CLaMP-1,True,False,maestro,pop909,0.05272330330005376,True,True,real,real,120,120,0.11435120102360885,0.008763595658127574,0.10288484807358832,0.13325848816835584
tok=REMI|model=CLaMP-1|vel=off|quant=off,REMI,CLaMP-1,True,False,maestro,jazz,0.06509497199668385,True,True,real,real,120,120,0.11855103234017357,0.00815213350470883,0.1074224627140963,0.13637402396274734
tok=REMI|model=CLaMP-1|vel=off|quant=off,REMI,CLaMP-1,True,False,maestro,rock,0.07551549704345824,True,True,real,real,120,120,0.12291639452290357,0.008209308528175027,0.1102128343988176,0.14270236648329762
tok=REMI|model=CLaMP-1|vel=off|quant=off,REMI,CLaMP-1,True,False,maestro,classical,0.0469702198468336,True,True,real,real,120,120,0.10946404377588745,0.006761593029870919,0.09934505920300825,0.12714272671346272
tok=REMI|model=CLaMP-1|vel=off|quant=off,REMI,CLaMP-1,True,False,maestro,pop,0.050172040524522385,True,True,real,real,120,120,0.1124179057854023,0.00864563042688246,0.10226028599169809,0.13152047606202752
tok=REMI|model=CLaMP-1|vel=off|quant=off,REMI,CLaMP-1,True,False,maestro,rap,0.0756173496277782,True,True,real,real,120,120,0.12311058601429994,0.00675751302780452,0.11004580162153832,0.13635344386935014
tok=REMI|model=CLaMP-1|vel=off|quant=off,REMI,CLaMP-1,True,False,midicaps,pop909,0.06167050775820718,True,True,real,real,120,120,0.11851232192906666,0.00855082034107491,0.1064535484427956,0.13686160840090594
