variant,genre_a,genre_b,pair,dataset_a,dataset_b,fmd
tok=MIDI-Like|model=CLaMP-1|vel=on|quant=off,jazz,pop,jazz vs pop,jazz,pop,0.0755353873136537
tok=MIDI-Like|model=CLaMP-1|vel=on|quant=on,jazz,pop,jazz vs pop,jazz,pop,0.0755353873136537
tok=MIDI-Like|model=CLaMP-2|vel=off|quant=off,jazz,pop,jazz vs pop,jazz,pop,0.32770661311141297
tok=MIDI-Like|model=CLaMP-2|vel=off|quant=on,jazz,pop,jazz vs pop,jazz,pop,0.32770661311141297
tok=MIDI-Like|model=CLaMP-2|vel=on|quant=off,jazz,pop,jazz vs pop,jazz,pop,0.3221912088876206
tok=MIDI-Like|model=CLaMP-2|vel=on|quant=on,jazz,pop,jazz vs pop,jazz,pop,0.3221912088876206
tok=Octuple|model=CLaMP-1|vel=off|quant=off,jazz,pop,jazz vs pop,jazz,pop,0.10802987042514511
tok=Octuple|model=CLaMP-1|vel=off|quant=on,jazz,pop,jazz vs pop,jazz,pop,0.10802987042514511
tok=Octuple|model=CLaMP-1|vel=on|quant=off,jazz,pop,jazz vs pop,jazz,pop,0.1080462286801944
tok=Octuple|model=CLaMP-1|vel=on|quant=on,jazz,pop,jazz vs pop,jazz,pop,0.1080462286801944
tok=Octuple|model=CLaMP-2|vel=off|quant=off,jazz,pop,jazz vs pop,jazz,pop,0.3301366635162359
tok=Octuple|model=CLaMP-2|vel=off|quant=on,jazz,pop,jazz vs pop,jazz,pop,0.3301366635162359
tok=Octuple|model=CLaMP-2|vel=on|quant=off,jazz,pop,jazz vs pop,jazz,pop,0.332333374524298
tok=Octuple|model=CLaMP-2|vel=on|quant=on,jazz,pop,jazz vs pop,jazz,pop,0.332333374524298
tok=REMI|model=CLaMP-1|vel=off|quant=off,jazz,pop,jazz vs pop,jazz,pop,0.0563667279767281
tok=REMI|model=CLaMP-1|vel=off|quant=on,jazz,pop,jazz vs pop,jazz,pop,0.0563667279767281
tok=REMI|model=CLaMP-1|vel=on|quant=off,jazz,pop,jazz vs pop,jazz,pop,0.05855545343310448
tok=REMI|model=CLaMP-1|vel=on|quant=on,jazz,pop,jazz vs pop,jazz,pop,0.05855545343310448
tok=REMI|model=CLaMP-2|vel=off|quant=off,jazz,pop,jazz vs pop,jazz,pop,0.25548202788972574
tok=REMI|model=CLaMP-2|vel=off|quant=on,jazz,pop,jazz vs pop,jazz,pop,0.25548202788972574
tok=REMI|model=CLaMP-2|vel=on|quant=off,jazz,pop,jazz vs pop,jazz,pop,0.26495511589711385
tok=REMI|model=CLaMP-2|vel=on|quant=on,jazz,pop,jazz vs pop,jazz,pop,0.26495511589711385
tok=TSD|model=CLaMP-1|vel=off|quant=off,jazz,pop,jazz vs pop,jazz,pop,0.07298639408858561
tok=TSD|model=CLaMP-1|vel=off|quant=on,jazz,pop,jazz vs pop,jazz,pop,0.07298639408858561
tok=TSD|model=CLaMP-1|vel=on|quant=off,jazz,pop,jazz vs pop,jazz,pop,0.07668026715266113
tok=TSD|model=CLaMP-1|vel=on|quant=on,jazz,pop,jazz vs pop,jazz,pop,0.07668026715266113
tok=TSD|model=CLaMP-2|vel=off|quant=off,jazz,pop,jazz vs pop,jazz,pop,0.6320555012952558
tok=TSD|model=CLaMP-2|vel=off|quant=on,jazz,pop,jazz vs pop,jazz,pop,0.6320555012952558
tok=TSD|model=CLaMP-2|vel=on|quant=off,jazz,pop,jazz vs pop,jazz,pop,0.6640697706620556
tok=TSD|model=CLaMP-2|vel=on|quant=on,jazz,pop,jazz vs pop,jazz,pop,0.6640697706620556
tok=MIDI-Like|model=CLaMP-1|vel=off|quant=off,jazz,rap,jazz vs rap,jazz,rap,0.061938695059723804
tok=MIDI-Like|model=CLaMP-1|vel=off|quant=on,jazz,rap,jazz vs rap,jazz,rap,0.061938695059723804
tok=MIDI-Like|model=CLaMP-1|vel=on|quant=off,jazz,rap,jazz vs rap,jazz,rap,0.06364677673349041
tok=MIDI-Like|model=CLaMP-1|vel=on|quant=on,jazz,rap,jazz vs rap,jazz,rap,0.06364677673349041
tok=MIDI-Like|model=CLaMP-2|vel=off|quant=off,jazz,rap,jazz vs rap,jazz,rap,0.22328561971376884
tok=MIDI-Like|model=CLaMP-2|vel=off|quant=on,jazz,rap,jazz vs rap,jazz,rap,0.22328561971376884
tok=MIDI-Like|model=CLaMP-2|vel=on|quant=off,jazz,rap,jazz vs rap,jazz,rap,0.27226086738836813
tok=MIDI-Like|model=CLaMP-2|vel=on|quant=on,jazz,rap,jazz vs rap,jazz,rap,0.27226086738836813
tok=Octuple|model=CLaMP-1|vel=off|quant=off,jazz,rap,jazz vs rap,jazz,rap,0.12348509335763451
tok=Octuple|model=CLaMP-1|vel=off|quant=on,jazz,rap,jazz vs rap,jazz,rap,0.12348509335763451
tok=Octuple|model=CLaMP-1|vel=on|quant=off,jazz,rap,jazz vs rap,jazz,rap,0.12013241286232246
tok=Octuple|model=CLaMP-1|vel=on|quant=on,jazz,rap,jazz vs rap,jazz,rap,0.12013241286232246
tok=Octuple|model=CLaMP-2|vel=off|quant=off,jazz,rap,jazz vs rap,jazz,rap,0.4650767114017588
tok=Octuple|model=CLaMP-2|vel=off|quant=on,jazz,rap,jazz vs rap,jazz,rap,0.4650767114017588
tok=Octuple|model=CLaMP-2|vel=on|quant=off,jazz,rap,jazz vs rap,jazz,rap,0.4426179639599513
tok=Octuple|model=CLaMP-2|vel=on|quant=on,jazz,rap,jazz vs rap,jazz,rap,0.4426179639599513
tok=REMI|model=CLaMP-1|vel=off|quant=off,jazz,rap,jazz vs rap,jazz,rap,0.06044962388404094
tok=REMI|model=CLaMP-1|vel=off|quant=on,jazz,rap,jazz vs rap,jazz,rap,0.06044962388404094
tok=REMI|model=CLaMP-1|vel=on|quant=off,jazz,rap,jazz vs rap,jazz,rap,0.06585656766063942
tok=REMI|model=CLaMP-1|vel=on|quant=on,jazz,rap,jazz vs rap,jazz,rap,0.06585656766063942
tok=REMI|model=CLaMP-2|vel=off|quant=off,jazz,rap,jazz vs rap,jazz,rap,0.2935705805803759
tok=REMI|model=CLaMP-2|vel=off|quant=on,jazz,rap,jazz vs rap,jazz,rap,0.2935705805803759
tok=REMI|model=CLaMP-2|vel=on|quant=off,jazz,rap,jazz vs rap,jazz,rap,0.3227588806533531
tok=REMI|model=CLaMP-2|vel=on|quant=on,jazz,rap,jazz vs rap,jazz,rap,0.3227588806533531
tok=TSD|model=CLaMP-1|vel=off|quant=off,jazz,rap,jazz vs rap,jazz,rap,0.07318695373671329
tok=TSD|model=CLaMP-1|vel=off|quant=on,jazz,rap,jazz vs rap,jazz,rap,0.07318695373671329
tok=TSD|model=CLaMP-1|vel=on|quant=off,jazz,rap,jazz vs rap,jazz,rap,0.07775708395112611
tok=TSD|model=CLaMP-1|vel=on|quant=on,jazz,rap,jazz vs rap,jazz,rap,0.07775708395112611
tok=TSD|model=CLaMP-2|vel=off|quant=off,jazz,rap,jazz vs rap,jazz,rap,0.5928017239147213
tok=TSD|model=CLaMP-2|vel=off|quant=on,jazz,rap,jazz vs rap,jazz,rap,0.5928017239147213
tok=TSD|model=CLaMP-2|vel=on|quant=off,jazz,rap,jazz vs rap,jazz,rap,0.5696366961470097
tok=TSD|model=CLaMP-2|vel=on|quant=on,jazz,rap,jazz vs rap,jazz,rap,0.5696366961470097
tok=MIDI-Like|model=CLaMP-1|vel=off|quant=off,rock,classical,rock vs classical,rock,classical,0.07766227283793224
tok=MIDI-Like|model=CLaMP-1|vel=off|quant=on,rock,classical,rock vs classical,rock,classical,0.07766227283793224
