n_per_cell,total_rows,resample,factor,eta_sq,p_value,significant
2,576,25,model,0.7890347074658987,2.4347534259087612e-194,True
2,576,25,preprocess,0.0017494207895274196,0.8006664556428387,False
2,576,26,tokenizer,0.0191520204863747,0.011348785037702334,True
2,576,26,model,0.7908884324994482,1.9422873247095406e-195,True
2,576,26,preprocess,0.0020770648480194303,0.7553184167569846,False
2,576,27,tokenizer,0.01935493568828711,0.01074501110346698,True
2,576,27,model,0.7857200140273469,2.1194884588366046e-192,True
2,576,27,preprocess,0.002332826851172764,0.7203421348187532,False
2,576,28,tokenizer,0.01962433893279491,0.009991930838870356,True
2,576,28,model,0.7744817893233268,4.858847733066054e-186,True
2,576,28,preprocess,0.0026493162694342935,0.6779507974955962,False
2,576,29,tokenizer,0.02039145178277466,0.008120374265965236,True
2,576,29,model,0.7794203175838351,8.541178239666578e-189,True
2,576,29,preprocess,0.002238723159685,0.7331488701508062,False
3,864,0,tokenizer,0.019502974755406986,0.0007243259349115698,True
3,864,0,model,0.7854840007455369,1.5609751814607448e-288,True
3,864,0,preprocess,0.002098700931787881,0.6132327043032246,False
3,864,1,tokenizer,0.01927616166764473,0.0007958820652500636,True
3,864,1,model,0.7791037055891009,4.711067709364805e-283,True
3,864,1,preprocess,0.002211035136029375,0.5924198752960014,False
3,864,2,tokenizer,0.0191612634753852,0.0008347608783172714,True
3,864,2,model,0.774960975071707,1.4028104856795802e-279,True
3,864,2,preprocess,0.002929142101082649,0.47092909066946087,False
3,864,3,tokenizer,0.02087130286107808,0.00040964004400506165,True
3,864,3,model,0.7900016405986966,1.6366120564583482e-292,True
3,864,3,preprocess,0.0020984131377531205,0.6132866156877337,False
3,864,4,tokenizer,0.01948616114154311,0.0007294040981417225,True
3,864,4,model,0.7796529454004936,1.6131359315681318e-283,True
3,864,4,preprocess,0.001933947408557219,0.6445699894237125,False
3,864,5,tokenizer,0.019704040449209113,0.000666247590105295,True
3,864,5,model,0.7708712437491863,3.2678853037413374e-276,True
