cov_method,tokenizer,model,remove_velocity,hard_quantization,pair,repeat,fmd,nfmd_trace
empirical,Octuple,MusicBERT,False,False,rock_vs_jazz,4,7.154440888717865,0.1305968706075472
empirical,Octuple,MusicBERT,False,False,rock_vs_electronic,0,8.350446328355616,0.14645636048703609
empirical,Octuple,MusicBERT,False,False,rock_vs_electronic,1,8.124705560765534,0.145805186520515
empirical,Octuple,MusicBERT,False,False,rock_vs_electronic,2,7.852375031806972,0.13964528250220798
empirical,Octuple,MusicBERT,False,False,rock_vs_electronic,3,8.52583390038253,0.15014387540298177
empirical,Octuple,MusicBERT,False,False,rock_vs_electronic,4,8.738188245532719,0.15083714665241119
empirical,Octuple,MusicBERT,False,False,rock_vs_country,0,7.4620613810781435,0.14737340509141583
empirical,Octuple,MusicBERT,False,False,rock_vs_country,1,7.320805639574623,0.14485041832753173
empirical,Octuple,MusicBERT,False,False,rock_vs_country,2,7.2962770313657686,0.1490833232322254
empirical,Octuple,MusicBERT,False,False,rock_vs_country,3,6.665480153873915,0.13774597062839786
empirical,Octuple,MusicBERT,False,False,rock_vs_country,4,7.372329333110137,0.14699058088755812
empirical,Octuple,MusicBERT,False,False,jazz_vs_electronic,0,11.01226505872745,0.20758707694457182
empirical,Octuple,MusicBERT,False,False,jazz_vs_electronic,1,10.856398112679265,0.20447723849157956
empirical,Octuple,MusicBERT,False,False,jazz_vs_electronic,2,10.350571148016684,0.1913415707956917
empirical,Octuple,MusicBERT,False,False,jazz_vs_electronic,3,10.484472361954353,0.1971844419619738
empirical,Octuple,MusicBERT,False,False,jazz_vs_electronic,4,10.578295593626898,0.19723306339776386
empirical,Octuple,MusicBERT,False,False,jazz_vs_country,0,7.261285689389638,0.15468174408023377
empirical,Octuple,MusicBERT,False,False,jazz_vs_country,1,7.216535709952801,0.15498115478557842
empirical,Octuple,MusicBERT,False,False,jazz_vs_country,2,7.150033337490612,0.15943625796263788
empirical,Octuple,MusicBERT,False,False,jazz_vs_country,3,7.420163957543387,0.1583701066901391
