dataset,configuration,perturbation,file,cosine_shift,corpus_scale,normalized_shift
maestro,MusicBERT-REMI,no_velocity,maestro_0046.mid,0.00436246395111084,0.004077732563018799,1.06982591028021
maestro,MusicBERT-REMI,no_velocity,maestro_0047.mid,0.0046898722648620605,0.004077732563018799,1.1501176676947364
maestro,MusicBERT-REMI,no_velocity,maestro_0048.mid,0.004543900489807129,0.004077732563018799,1.1143203777059916
maestro,MusicBERT-REMI,no_velocity,maestro_0049.mid,0.004853248596191406,0.004077732563018799,1.1901831523248505
maestro,MusicBERT-REMI,no_velocity,maestro_0050.mid,0.004474043846130371,0.004077732563018799,1.0971891307207695
maestro,MusicBERT-REMI,no_velocity,maestro_0051.mid,0.004572868347167969,0.004077732563018799,1.121424290704983
maestro,MusicBERT-REMI,no_velocity,maestro_0053.mid,0.005107879638671875,0.004077732563018799,1.2526274246122813
maestro,MusicBERT-REMI,no_velocity,maestro_0055.mid,0.009437501430511475,0.004077732563018799,2.314399310072647
maestro,MusicBERT-REMI,no_velocity,maestro_0058.mid,0.005606651306152344,0.004077732563018799,1.3749433587183721
maestro,MusicBERT-REMI,no_velocity,maestro_0060.mid,0.004217386245727539,0.004077732563018799,1.0342478768655081
maestro,MusicBERT-REMI,no_velocity,maestro_0061.mid,0.0036174654960632324,0.004077732563018799,0.8871267156826919
maestro,MusicBERT-REMI,no_velocity,maestro_0062.mid,0.006383955478668213,0.004077732563018799,1.5655650241913086
maestro,MusicBERT-REMI,no_velocity,maestro_0066.mid,0.0041255950927734375,0.004077732563018799,1.0117375352637656
maestro,MusicBERT-REMI,no_velocity,maestro_0067.mid,0.003947913646697998,0.004077732563018799,0.9681639454489643
maestro,MusicBERT-REMI,no_velocity,maestro_0069.mid,0.006440162658691406,0.004077732563018799,1.5793489541461418
maestro,MusicBERT-REMI,no_velocity,maestro_0070.mid,0.006031334400177002,0.004077732563018799,1.479090231388771
maestro,MusicBERT-REMI,no_velocity,maestro_0072.mid,0.004985213279724121,0.004077732563018799,1.2225454226535892
maestro,MusicBERT-REMI,no_velocity,maestro_0073.mid,0.004082024097442627,0.004077732563018799,1.0010524315554061
maestro,MusicBERT-REMI,no_velocity,maestro_0074.mid,0.0034650564193725586,0.004077732563018799,0.8497507783608379
maestro,MusicBERT-REMI,no_velocity,maestro_0081.mid,0.00545501708984375,0.004077732563018799,1.3377574437606887
maestro,MusicBERT-REMI,no_velocity,maestro_0082.mid,0.004302382469177246,0.004077732563018799,1.055091868504524
maestro,MusicBERT-REMI,no_velocity,maestro_0083.mid,0.0055234432220458984,0.004077732563018799,1.3545378802274421
maestro,MusicBERT-REMI,no_velocity,maestro_0085.mid,0.004766106605529785,0.004077732563018799,1.1688129449081315
maestro,MusicBERT-REMI,no_velocity,maestro_0086.mid,0.004868924617767334,0.004077732563018799,1.1940274509230702
maestro,MusicBERT-REMI,no_velocity,maestro_0087.mid,0.006829619407653809,0.004077732563018799,1.6748571177992486
maestro,MusicBERT-REMI,no_velocity,maestro_0088.mid,0.0051993727684021,0.004077732563018799,1.2750646806893426
maestro,MusicBERT-REMI,no_velocity,maestro_0091.mid,0.005797266960144043,0.004077732563018799,1.421688860304328
maestro,MusicBERT-REMI,no_velocity,maestro_0093.mid,0.004284381866455078,0.004077732563018799,1.0506775028137927
maestro,MusicBERT-REMI,no_velocity,maestro_0094.mid,0.004382729530334473,0.004077732563018799,1.0747957259585166
maestro,MusicBERT-REMI,no_velocity,maestro_0095.mid,0.004486083984375,0.004077732563018799,1.100141785917881
maestro,MusicBERT-REMI,no_velocity,maestro_0096.mid,0.006332874298095703,0.004077732563018799,1.5530381652609884
maestro,MusicBERT-REMI,no_velocity,maestro_0098.mid,0.004533946514129639,0.004077732563018799,1.1118793211816467
maestro,MusicBERT-REMI,no_velocity,maestro_0099.mid,0.003965258598327637,0.004077732563018799,0.9724175229853975
maestro,MusicBERT-REMI,no_velocity,maestro_01.mid,0.01339566707611084,0.004077732563018799,3.285077397570637
maestro,MusicBERT-REMI,no_velocity,maestro_0100.mid,0.005214393138885498,0.004077732563018799,1.278748191133264
maestro,MusicBERT-REMI,no_velocity,maestro_0101.mid,0.004085361957550049,0.004077732563018799,1.0018709894318332
maestro,MusicBERT-REMI,no_velocity,maestro_0103.mid,0.003979921340942383,0.004077732563018799,0.9760133307997018
maestro,MusicBERT-REMI,no_velocity,maestro_0104.mid,0.004996657371520996,0.004077732563018799,1.225351906801339
maestro,MusicBERT-REMI,no_velocity,maestro_0105.mid,0.0054825544357299805,0.004077732563018799,1.3445105462412115
maestro,MusicBERT-REMI,no_velocity,maestro_0108.mid,0.006645917892456055,0.004077732563018799,1.6298072003858917
maestro,MusicBERT-REMI,no_velocity,maestro_0111.mid,0.0020331144332885742,0.004077732563018799,0.49858944937365707
maestro,MusicBERT-REMI,no_velocity,maestro_0112.mid,0.005756676197052002,0.004077732563018799,1.4117346118427785
maestro,MusicBERT-REMI,no_velocity,maestro_0113.mid,0.003587484359741211,0.004077732563018799,0.8797743118997852
maestro,MusicBERT-REMI,no_velocity,maestro_0117.mid,0.004529833793640137,0.004077732563018799,1.1108707409410492
maestro,MusicBERT-REMI,no_velocity,maestro_0118.mid,0.0038214921951293945,0.004077732563018799,0.9371610658792919
maestro,MusicBERT-REMI,no_velocity,maestro_0120.mid,0.004806399345397949,0.004077732563018799,1.1786941078450002
maestro,MusicBERT-REMI,no_velocity,maestro_0121.mid,0.006764829158782959,0.004077732563018799,1.6589683247336033
maestro,MusicBERT-REMI,no_velocity,maestro_0122.mid,0.004734396934509277,0.004077732563018799,1.161036645082075
maestro,MusicBERT-REMI,no_velocity,maestro_0123.mid,0.005095005035400391,0.004077732563018799,1.2494701299460629
maestro,MusicBERT-REMI,no_velocity,maestro_0128.mid,0.005739688873291016,0.004077732563018799,1.4075687369359624
maestro,MusicBERT-REMI,no_velocity,maestro_0129.mid,0.0032962560653686523,0.004077732563018799,0.8083551371815298
maestro,MusicBERT-REMI,no_velocity,maestro_0130.mid,0.005553603172302246,0.004077732563018799,1.3619341353251575
maestro,MusicBERT-REMI,no_velocity,maestro_0131.mid,0.006590068340301514,0.004077732563018799,1.6161109730606755
maestro,MusicBERT-REMI,no_velocity,maestro_0137.mid,0.0036667585372924805,0.004077732563018799,0.8992150614649262
maestro,MusicBERT-REMI,no_velocity,maestro_0139.mid,0.005828857421875,0.004077732563018799,1.4294359259205123
maestro,MusicBERT-REMI,no_velocity,maestro_0142.mid,0.004453718662261963,0.004077732563018799,1.0922046979375264
maestro,MusicBERT-REMI,no_velocity,maestro_0143.mid,0.004823803901672363,0.004077732563018799,1.1829623024863696
maestro,MusicBERT-REMI,no_velocity,maestro_0145.mid,0.0037354230880737305,0.004077732563018799,0.9160539663514244
maestro,MusicBERT-REMI,no_velocity,maestro_02.mid,0.011076867580413818,0.004077732563018799,2.716428164237791
maestro,MusicBERT-REMI,no_velocity,maestro_05.mid,0.0111846923828125,0.004077732563018799,2.7428705070673702
maestro,MusicBERT-REMI,no_velocity,maestro_08.mid,0.01122891902923584,0.004077732563018799,2.753716398930028
