dataset,configuration,perturbation,file,cosine_shift,corpus_scale,normalized_shift
pop909,MusicBERT-REMI,no_velocity,pop909_0036.mid,0.006163299083709717,0.003873884677886963,1.5909867216469467
pop909,MusicBERT-REMI,no_velocity,pop909_0042.mid,0.004418134689331055,0.003873884677886963,1.140492052990322
pop909,MusicBERT-REMI,no_velocity,pop909_0044.mid,0.005937397480010986,0.003873884677886963,1.5326727493730095
pop909,MusicBERT-REMI,no_velocity,pop909_0046.mid,0.00596308708190918,0.003873884677886963,1.5393042327635285
pop909,MusicBERT-REMI,no_velocity,pop909_0047.mid,0.004317164421081543,0.003873884677886963,1.11442770759928
pop909,MusicBERT-REMI,no_velocity,pop909_0048.mid,0.008404374122619629,0.003873884677886963,2.1694951764036126
pop909,MusicBERT-REMI,no_velocity,pop909_0049.mid,0.005587100982666016,0.003873884677886963,1.4422476266674873
pop909,MusicBERT-REMI,no_velocity,pop909_0050.mid,0.004159688949584961,0.003873884677886963,1.0737771760035697
pop909,MusicBERT-REMI,no_velocity,pop909_0051.mid,0.003517746925354004,0.003873884677886963,0.9080670226024341
pop909,MusicBERT-REMI,no_velocity,pop909_0053.mid,0.006277740001678467,0.003873884677886963,1.6205283645931101
pop909,MusicBERT-REMI,no_velocity,pop909_0055.mid,0.005961954593658447,0.003873884677886963,1.5390118935885404
pop909,MusicBERT-REMI,no_velocity,pop909_0058.mid,0.007530570030212402,0.003873884677886963,1.9439324234917605
pop909,MusicBERT-REMI,no_velocity,pop909_0060.mid,0.007184147834777832,0.003873884677886963,1.8545074084901452
pop909,MusicBERT-REMI,no_velocity,pop909_0061.mid,0.006521821022033691,0.003873884677886963,1.6835351499392242
pop909,MusicBERT-REMI,no_velocity,pop909_0062.mid,0.005627751350402832,0.003873884677886963,1.4527410644223224
pop909,MusicBERT-REMI,no_velocity,pop909_0066.mid,0.007205486297607422,0.003873884677886963,1.8600156939978152
pop909,MusicBERT-REMI,no_velocity,pop909_0067.mid,0.006232023239135742,0.003873884677886963,1.6087270936870124
pop909,MusicBERT-REMI,no_velocity,pop909_0069.mid,0.005837619304656982,0.003873884677886963,1.5069161294293232
